type,viewer,text
positive,cybernetix,Amazing book on highlighting the contributions of Muslims who are in these times are severely misunderstood and inappropriately being hated. Read and know!!.
positive,ma sathar,"With increasing bigotry Islamophobia and persecution of Muslims, it is timely that this extraordinary book is on my coffee table. Unfortunately, ""orientalists"" choose to exclude the contributions of Islam to Civilisation instead perpetuate the false world view of Muslims through a “civilisational lens” as a "" Clash of Civilisation""."
positive,amjad kayed,A great book that tells the truth about how much ISLAM AND THE ARABS HAVE CONTRIBUTED TO WORLD FROM THE BEGINNING OF TIMES.its unfortunate that true history is not taught in American schools.
positive,mohd a,I loved it. It took me back years to my high school days. It is beautiful and contains a wealth of information. I am looking forward to researching the resources.
positive,khan,"Highly informative books, I bought for my children. The book is written very well and sometimes I also read it to improve my knowledge about inventions by Muslim civilization. A must have book for many."
positive,aaxis,Lots of great information - I am going through this with my 5 year old. We have a ways to go but it is such an amazing resource.
positive,jb,Contributions to humanity are achieved by reason and faith. This golden era of islam is an example great experimental technological advance based on freedom of thought and spiritual liberalism. Great advance in invention for all mankind.
positive,yama achikzai,An excellent book full of info that many people aren't aware of.
positive,taf,Things that they don't tell you in school.
positive,b2013,Eye opening.Need more books like this!
positive,zakaria f,Very interesting and inspiring read. A must read for everyone. Should be freely available in the libraries to educate and inspire.
positive,kolohe,I love this book. I wanted the hardcopy that I saw in Dubai 5 years ago but could not get it. So glad to have the softcover edition.
positive,amy,Great book . Very good quality. Would be so helpful in school projects
positive,amazon customer,A great book to own. It could be a coffee table book
positive,ibrahim hamisu,Goes to show Islamic intellect is the real intellect in the world.
positive,ryu sanchez,It's amazing to learn more about the muslim contributions towards modern society.
positive,salim al kaabi,Item arrived 2 weeks a go! Both informative and educational. Great read!
positive,craftsathome,Great job at highlighting inventions
positive,edwardseco,Wonderful book & seller! Thanks!
positive,abdulkerm kar,I ordered this book as a present to a small girl in the USA. She liked it very much.
positive,farid,very interesting Book has lots of information
positive,md shaheed,Simply a must-have.... You'll know what I mean when you get it and go through the pages. Beautifully done.
positive,joyce peterson,Gave this as a wedding gift for an American - Muslim couple; they loved it.
positive,ahmed e radwan,"Took my heart! I love it! Very well-written and good designs. As excepted, this is an epic!"
positive,shoptherapy,Awesome book to have in your collection. So much history
positive,angie,"Really informative. Even though it was second hand,the overall condition wasn't too bad."
positive,azza mahmoud,Amazing illustration and text
positive,asif s,Its a great book. Takes a good dive in what generally we don't know.
positive,emad,This is a must to have book at all times. Also it is the best book to gift your curious knowledge thirsty friends! Muslims or Non-Muslims.
